"","SID","mating_f","mating_m","neutral_f","neutral_m","status_f","status_m"
"1","2",54,61,29,41,46,44
"2","3",36,26,29,22,33,36
"3","7",38,55,62,49,59,48
"4","17",59,48,39,50,36,44
"5","19",59,38,53,60,43,56
"6","24",30,38,37,47,26,47
"7","27",45,44,44,43,25,50
"8","30",51,60,59,54,31,43
"9","32",50,34,58,53,50,41
"10","34",33,60,42,57,41,46
"11","40",45,39,37,32,54,43
"12","41",41,60,55,48,53,45
"13","45",39,27,37,39,34,44
"14","46",33,46,38,29,25,41
"15","48",35,35,29,41,39,32
"16","50",56,40,37,16,52,51
"17","57",62,54,55,60,59,56
"18","59",45,49,44,48,49,49
"19","60",32,35,45,40,37,36
"20","62",51,16,45,39,52,53
"21","68",49,60,55,56,59,49
"22","74",34,19,26,43,40,51
"23","76",52,47,47,33,44,45
"24","80",37,57,52,53,40,60
"25","81",35,28,30,30,31,35
"26","84",32,44,31,39,51,40
"27","85",53,47,25,46,45,49
"28","86",35,42,31,45,28,40
"29","87",52,47,56,44,48,51
"30","89",25,59,37,47,38,46
"31","101",42,39,46,50,43,31
"32","102",41,55,33,31,38,48
"33","103",55,58,52,48,59,50
"34","106",27,39,48,35,46,35
"35","110",40,36,37,35,40,32
"36","120",58,38,47,55,49,56
"37","122",47,30,51,42,48,31
"38","131",55,43,41,40,36,39
"39","132",34,36,41,31,34,38
"40","138",33,31,29,29,29,36
"41","140",35,38,27,41,37,36
"42","141",28,35,31,31,35,32
"43","164",46,45,26,39,54,35
"44","167",52,53,49,56,55,53
"45","176",43,29,33,33,29,34
"46","179",56,55,53,60,57,49
"47","180",52,55,56,53,39,42
"48","186",40,55,38,45,38,47
"49","188",40,35,33,40,44,32
"50","200",32,40,42,23,49,48
"51","202",39,53,45,43,52,60
"52","203",26,42,42,28,44,35
"53","205",38,30,42,35,29,31
"54","207",45,50,60,40,44,38
"55","210",41,60,44,53,46,46
"56","220",43,26,36,29,28,41
"57","223",32,38,58,48,39,55
"58","224",42,54,27,58,37,54
"59","225",43,34,41,40,45,41
"60","238",53,36,44,46,47,59
"61","301",44,35,40,43,43,43
"62","304",27,31,36,29,34,24
"63","305",38,34,30,43,39,35
"64","306",50,61,49,52,41,51
"65","307",41,25,28,39,24,40
"66","311",43,55,38,44,58,52
"67","312",37,29,30,37,31,34
"68","314",36,40,31,36,36,29
"69","316",49,59,51,36,49,45
"70","317",37,38,44,38,33,29
